business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
EPKg3b0BK20-VKmzrP2W-A,Savona Bistro,37,0:0-23:0,-115.165739,36.1152191
PQQQKu5lD8F0Rg9MxrGcgQ,The Buffalo,30,0:0-23:0,-115.150620619,36.1053552746
N3WQPXoVeCuzqyPIvWIX5Q,Las Vegas Lounge,23,0:0-23:0,-115.143052,36.141011
5uMby-2z4xIFBQjgTLCYdg,The Dive Bar,40,0:0-23:0,-115.1369385,36.1139123
viMNp9q8ATxFCWpLGr4RvQ,Davy's Locker,27,0:0-23:0,-115.138066,36.129422
8wt-saX_qXaqVCXQHc5qXw,Sporting Life Bar,56,0:0-23:0,-115.224919,36.048195
SLVjLgWfUqgaXtmc0wmLiw,PT's,21,0:0-23:0,-115.119841951,36.1302215383
Apkr-qykgpUI5ltIw7B-7Q,Stake Out Bar & Grill,51,0:0-23:0,-115.1363023,36.1027088
fQt9QVAZM9PM0wFDdROvWw,Frankie's Tiki Room,82,0:0-23:0,-115.1646372,36.1591684
kCjvO_BZ2_KohSR5eJl2GA,Cozy's Tavern,24,0:0-23:0,-115.2073876,36.1045609
VfFHPsPtTW4Mgx0eHDyJiQ,Distill - A Local Bar,54,0:0-23:0,-115.331591073,36.1606854895
kzwiQ54fopeTgGEIkgJ2dQ,PT's,42,0:0-23:0,-115.259810224,36.0686032269
lcsfb0Sz5vzpBVShDsu2gw,PT's,13,0:0-23:0,-115.147729,36.144309
CXImGdRuyHEfPUbppCCm6A,Silver Saddle Saloon,9,0:0-23:0,-115.1157816,36.1591121
ZebnMoRwFEWqQjd6kjxCpA,Zodie's,22,0:0-23:0,-115.1084092,36.1147248
0LDW1WT4mQ6r9GBf4G4kzA,Money Plays,51,0:0-23:0,-115.2056,36.115074
W_qjGgy4LsEQnKKjIscDNg,Nikki Lee's Sports Pub & Grill,34,0:0-23:0,-115.114102,36.071999
iCovpfQtG99MSHEqXew70w,Cellar Lounge,38,0:0-23:0,-115.1891941,36.1434033
SQEzO0MiY6-M1VwbYcbWtg,The Lodge Coffee House & Tavern,44,0:0-23:0,-115.279592016,36.0843657219
L_gl5gnEMxvADScorL-2Hw,BJ's Cocktail Lounge West,47,0:0-23:0,-115.2510426,36.0671343
n0tnioUYabmpBrTwmIq08Q,PT's,28,0:0-23:0,-115.153581,36.262122
6TvB1PZCY1Ap2S-yNJPs4w,Hooters,25,0:0-23:0,-115.167671,36.100561
uz9waRQ_LAxVi2RDtUdp5Q,Delano Beach Club,28,8:0-19:0,-115.177689,36.0899555
MMc-8By6BkMs3E8U44OntQ,Monte Carlo Poker Room,25,0:0-23:0,-115.1752326,36.1051256
FevycwulBfHEZt77dv2EyA,Carmine's,35,0:0-23:0,-115.278408,36.136073
rrUAvccm8C_gI4nJZlv0DA,mi5t-entertainment,44,8:0-20:0,-115.185323974,36.1050836
xo1FxmxwWAXIVZ1MO222dg,Rounders,54,0:0-23:0,-115.2660871,36.0206258
CZF9Nm8CFY2R9ZhfwYIARQ,Giuseppe's Bar & Grille,48,0:0-23:0,-115.279971,36.078642
nSQBL7E9JdN40Dcg-QiFJA,Sports Bar - At Aria Resort & Casino,18,0:0-23:0,-115.173177,36.10737
w0ArxcJ0XsyK1ZwrIf3gpA,Four Sevens Sports Bar & Restaurant,48,0:0-23:0,-115.26008219,36.1433116922
V21vfbRLlrJ2rQFo-AoakQ,Lobby Bar,8,0:0-23:0,-115.1699583,36.1022543
1WsXLCPRP2EZ9KoBRTkSbw,PT's Gold,19,0:0-23:0,-115.2486868,36.1965066
vFWYJFEEp-HeO7bsJOyEZA,Barefoot Bob's Beach Bar & Gaming,26,0:0-23:0,-115.1316866,36.1148582
8fjF2NIPSM0Ar1hed2tdog,Gilligan's HideAway,42,0:0-23:0,-115.114898,36.142401
uWIrZQx2BxKznWPjxWGRNg,PT's,29,0:0-23:0,-115.29751536,36.068042268
ATGZLAWudXt5hQXQ1AVGDQ,SG Bar,39,0:0-23:0,-115.3011418,36.1156002
RDO51EhaqSt1Psdwcwx3Bg,The Pint,47,0:0-23:0,-115.31363,36.1573134
MGCTs8GBtkTUFaCAkdDtKw,Inn Zone Rainbow,30,0:0-23:0,-115.2450798,36.1714276
7uaVNa67K5qwk9ZrbHeZ0Q,Ignite Lounge,26,0:0-23:0,-115.1767584,36.1044875
nHQtk-oJVNvVpvfFslv9Ug,PT's,29,0:0-23:0,-115.2067556,36.1566746
aEswvENK_RJnPbcJPSvAjA,Rum Runner Lounge,47,0:0-23:0,-115.1269689,36.1001961
b5uCtk5iUcdeSWBNAx40Ug,PT's,27,0:0-23:0,-115.158676483,36.0577084236
o1wIJ_ToTf6nKkumXWxSUQ,Vue Bar,19,0:0-23:0,-115.1430844,36.1693903
n0QmJeame2VHWgMKj5gfrw,Stateside Lounge,31,0:0-23:0,-115.134543429,36.1820872895
w5ecDANc8JSPntIWtJBdwg,Putter's Bar & Grill,17,0:0-23:0,-115.2781167,36.1144314
