business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
P5ok14ZLSORO-1521ZPWNw,Men Of X,26,21:0-22:30,-115.167874,36.0993459
A6qvHu4tVEKzwjZjWSCeRQ,V - The Ultimate Variety Show,63,19:0-22:0,-115.168835459,36.1107409676
CMN3KmB5SEfONN00s2nEeQ,Cirque du Soleil - Criss Angel Believe,28,12:0-22:0,-115.175818,36.09558
o1dX8oFupfjbBpYgT7TH0w,Thunder From Down Under,65,21:0-22:15,-115.176612,36.097106
Oc853wEANeKB1ulOrwNtPg,Sergio Daae,44,0:0-23:0,-115.1738726,36.1097544
lKpq896ntOguhYcReDNrYA,THE 80s SHOW,12,21:0-22:30,-115.1726815,36.1094031
QpPyuxHVVJ6BtXd-FoCjgw,Marc Savard Comedy Hypnosis,58,22:0-23:30,-115.172507445,36.1107293748
o597EK6uvR5RuPMZEwYCUg,JABBAWOCKEEZ,72,10:0-22:0,-115.1697555,36.1029162
4zD8uwQd1RCbpN1l0fJ64A,Stripper 101,47,9:0-22:0,-115.168838183,36.110703372
fGt3udZE8r9JkbfMZnawXg,Super Summer Theatre,50,20:0-23:0,-115.454147,36.071025
YC8Llp3jlgKh8b-czHedHg,Chippendales,60,20:0-22:30,-115.186461,36.118758
bPfvv7TvMLxxA3__VomsxQ,Saddle N Spurs Saloon,30,0:0-23:0,-115.2232141,36.2023801
1UZi8dTv44-qizFTI64UJA,Vinnie Favorito Unfiltered,54,21:0-22:30,-115.1512526,36.1362575
a2JgQgEGm5hMDEhryhMMJg,VEGAS! The Show,68,19:0-23:0,-115.172145,36.110975
UgusE1TeoVGQRPg_wN4Ubg,Naughty Boys Hypnosis Show,13,22:0-23:30,-115.1588934,36.1320477
B32Ghxep_UhiscserSXMSA,Zarkana by Cirque du Soleil,63,10:0-22:0,-115.178174973,36.1071266589
Nm1pBGkT5euNOn29JHwXrQ,The Lion King,66,10:0-22:0,-115.1778316,36.0930659
UceIYWaKErRX_CSviEgVuw,Cirque du Soleil - Viva ELVIS,45,21:30-23:0,-115.146372,36.124423
znI3PLvLNIKvBZFCrgQg9A,Larry G Jones,13,21:0-22:30,-115.146372,36.124423
WPCgtEG-bJt0cZtnM-x7yw,Recycled Percussion,64,10:0-22:30,-115.1714113,36.1107901
8mIrX_LrOnAqWsB5JrOojQ,Pinball Hall Of Fame,86,11:0-23:0,-115.130511,36.1014493
