business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
ZL_Xpue6CcyaHG7bsOPqng,Southern Hills Baptist Church,38,0:0-23:0,-115.2330677,36.02729
hlPtbUi_Ejlk_ab0J6QzWA,Shrine of the Most Holy Redeemer,38,7:0-19:0,-115.169752,36.0967472
cP2aaDaMFlhZNnx5KR4Y1w,The Rock  A Christian Church,35,10:0-23:30,-115.244736671,36.051493058
YSz8a6PJSjcxV8q5isS4Rg,Liberty Baptist Church,17,8:0-21:0,-115.236890923,36.1953606271
IbuNed_ZQqimGQyJ9B4WoA,The Crossing Christian Church,46,18:0-19:0,-115.2644551,36.0418432
2QyprNEv-eczMqU7gnzFfQ,Vegas Simple Wedding Chapel,51,0:0-23:0,-115.1448239,36.167029
aUc1gQmIwv1sQKt2u4AWPA,St Joseph Husband of Mary Roman Catholic Church,27,8:0-18:0,-115.2515106,36.1442895
gBDAgyz_OxfR5hhPxkMuzQ,Church of Scientology,10,9:0-18:30,-115.1123721,36.1251437
