business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
rHmILK3NBQWiRQMr9Sk8ew,PT's,33,0:0-23:0,-115.2838739,36.1994962
maIam6HyU4FB_sBIk9ippA,The Lodge at Shelbourne,35,0:0-23:0,-115.2430395,36.0367255
vmg_VdqXVOVhUoacU2pfdw,The Bar @ Las Vegas Blvd & Wigwam,51,0:0-23:0,-115.1714093,36.0342435
5PP6BwtNYlPARHApB9lzcQ,Blue Ox Tavern,47,0:0-23:0,-115.2217,36.142636
a2OCO4yHDEifuKzjor_yRQ,PT's,29,0:0-23:0,-115.0991397,36.0718009
5D3cAYturwbEqnj52b1Tmw,PT's,33,0:0-23:0,-115.208489,36.0922493
ejcVeQztxXY6NX2O2SE0Rw,PT's,35,0:0-23:0,-115.2798389,36.1194254
Xspg78dOvuedvuPEUwZBjw,The Beat Coffeehouse & Records,64,7:0-22:0,-115.1395836,36.1691083
aNe8ofTYrealxqv7VtFTuw,Sierra Gold,51,0:0-23:0,-115.2249525,36.0703249
71bwX-tbmq4su8H7Q9oLOQ,PT's,36,0:0-23:0,-115.314419,36.121194
6-gRHn1n11ATqWBrFTLnNA,Great American  Pub,28,0:0-23:0,-115.118836462,36.0203342636
udGrKu1eJ_Qdd6O1PeUrmg,PT's,15,0:0-23:0,-115.2439415,36.2156072
p45zoSxaX9FC6JBoyw6DKg,Steiner's Nevada Style Pub,45,0:0-23:0,-115.2588414,36.1906225
