business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
A_LQQRX0nGr7mSxuovXgzQ,10,20,16,6,2,0,2,5,0,0,0,0,2,0,3,5,2,2,4,2,0,8,2,6
hlPtbUi_Ejlk_ab0J6QzWA,57,32,11,3,0,0,2,2,2,0,0,0,0,0,1,0,2,5,8,49,42,9,12,13
oB8ubB0VcNyCmiy6jRnCiQ,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9NrsFCuGGPJJGCZGP0T2mA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cc1jQJfCet8lfxj99CdCFw,6,38,47,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
gBDAgyz_OxfR5hhPxkMuzQ,1,7,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,2,5,2,2,3,1
YSz8a6PJSjcxV8q5isS4Rg,3,16,7,1,2,0,0,0,0,0,0,0,0,0,0,3,1,2,4,0,1,0,0,0
HgVirOyCSjxrrqDzuYtUNQ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
IbuNed_ZQqimGQyJ9B4WoA,60,103,80,26,8,2,1,0,0,0,0,0,1,0,0,0,2,4,4,3,1,3,8,3
1EuqKW-JC-Fm3RSWRqKdrg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1AdIZu9j2lTl8tUy2neDDQ,2,1,7,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,4
ErPV2co7rEOUGKXUAQV4jQ,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1sOOSqGIeLs7vp8G5SY8pQ,4,6,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
ZL_Xpue6CcyaHG7bsOPqng,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
btiYZMEOwXRD806kQXEYAg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2uBLpBwXwNaHcar8Lua2HQ,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
cP2aaDaMFlhZNnx5KR4Y1w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
07r5PjnPxDXKI-Icp_NbpA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0
1vGzHpCngofLvTqJr-2hWw,2,6,5,5,2,3,0,0,0,0,0,0,1,1,1,5,1,5,1,0,2,0,1,1
MZu0iBdiu2oyIcp-yWZkow,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LnCNoBfyLQVdk8CLj6ra4w,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1
VCRBTZBzWib3ngEFoOZing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2QyprNEv-eczMqU7gnzFfQ,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
aUc1gQmIwv1sQKt2u4AWPA,31,35,10,3,3,0,1,2,2,0,0,0,0,0,1,2,0,2,0,3,3,2,2,5
d6Gn9-ZnjatqkS6OihpG1w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c9AJXcIVPFIoZEXIRUA1pQ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luEZ8yvLiIT587xhXWEJ1w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
